product_key,product_name,category_key,category_name,vertical
1,Obrien-Williams Storage,4,Hardware,Tech
2,"Miller, Smith and Ford Switch",4,Hardware,Tech
3,Tran Group Conveyor,5,Machinery,Manufacturing
4,Schultz Group Plastic Pellets,6,Raw Materials,Manufacturing
5,Miller-Adams Server,4,Hardware,Tech
6,Hardy-Huang Plastic Pellets,6,Raw Materials,Manufacturing
7,Daniel LLC Camera,1,Electronics,Retail
8,Archer-Blackwell Laptop,1,Electronics,Retail
9,Daniel and Sons Dress,2,Apparel,Retail
10,Farmer LLC ERP,3,SaaS,Tech
11,Young PLC Analytics,3,SaaS,Tech
12,Miller-Roth Jacket,2,Apparel,Retail
13,"Mcdonald, Johnson and Fitzgerald Laptop",1,Electronics,Retail
14,"Krueger, Townsend and Palmer Server",4,Hardware,Tech
15,Jones-Parker Jacket,2,Apparel,Retail
16,Oneal-Obrien Server,4,Hardware,Tech
17,Mullen Ltd TV,1,Electronics,Retail
18,"Hansen, Hayes and Sparks Laptop",1,Electronics,Retail
19,"Wilson, Cabrera and Jones Analytics",3,SaaS,Tech
20,Phillips Ltd Jeans,2,Apparel,Retail
21,"Wiley, Smith and Russell Drill",5,Machinery,Manufacturing
22,"Johnson, Koch and Ross Conveyor",5,Machinery,Manufacturing
23,Long and Sons Switch,4,Hardware,Tech
24,Mathis Inc Tablet,1,Electronics,Retail
25,"Higgins, Short and Wilson T-shirt",2,Apparel,Retail
26,"Dixon, Parker and Moyer ERP",3,SaaS,Tech
27,Stewart Ltd Laptop,1,Electronics,Retail
28,"Thomas, Melton and Reeves Steel Rods",6,Raw Materials,Manufacturing
29,Ruiz-Martin HR Suite,3,SaaS,Tech
30,Freeman-Myers TV,1,Electronics,Retail
31,Whitehead PLC Switch,4,Hardware,Tech
32,Martinez Group Compressor,5,Machinery,Manufacturing
33,Howe LLC T-shirt,2,Apparel,Retail
34,Goodwin Ltd Workstation,4,Hardware,Tech
35,Douglas and Sons Drill,5,Machinery,Manufacturing
36,Barber Inc Speaker,1,Electronics,Retail
37,Wise LLC Tablet,1,Electronics,Retail
38,"Burnett, Alexander and Malone Compressor",5,Machinery,Manufacturing
39,"Jones, English and Hawkins Laptop",1,Electronics,Retail
40,Griffin Inc Plastic Pellets,6,Raw Materials,Manufacturing
41,Andrews Ltd Tablet,1,Electronics,Retail
42,"Booth, Williams and Silva Copper Wire",6,Raw Materials,Manufacturing
43,Cruz PLC Aluminum Sheets,6,Raw Materials,Manufacturing
44,Lopez-Shaffer HR Suite,3,SaaS,Tech
45,Davis-Keith T-shirt,2,Apparel,Retail
46,Diaz-Anderson Aluminum Sheets,6,Raw Materials,Manufacturing
47,Vega Group Smartphone,1,Electronics,Retail
48,Thomas and Sons CRM,3,SaaS,Tech
49,Peterson-Hernandez Laptop,1,Electronics,Retail
50,Moreno-Martinez Press,5,Machinery,Manufacturing
51,Hernandez-Taylor T-shirt,2,Apparel,Retail
52,"Montgomery, Murphy and Olson Workstation",4,Hardware,Tech
53,Haney-Larson HR Suite,3,SaaS,Tech
54,"Bird, Davidson and Malone Compressor",5,Machinery,Manufacturing
55,Cunningham-Stewart Steel Rods,6,Raw Materials,Manufacturing
56,Collier-Evans HR Suite,3,SaaS,Tech
57,Davis and Sons Jacket,2,Apparel,Retail
58,Hall Group Drill,5,Machinery,Manufacturing
59,Dickerson-Williams Router,4,Hardware,Tech
60,Richardson-Becker Tablet,1,Electronics,Retail
61,Dixon-Valdez Conveyor,5,Machinery,Manufacturing
62,"Davis, Hinton and Lee Hat",2,Apparel,Retail
63,Baxter PLC Router,4,Hardware,Tech
64,Fitzgerald-Carr Router,4,Hardware,Tech
65,Lewis LLC TV,1,Electronics,Retail
66,Melton Group ERP,3,SaaS,Tech
67,Gonzales and Sons HR Suite,3,SaaS,Tech
68,Blair-Aguilar Copper Wire,6,Raw Materials,Manufacturing
69,Zavala-Glover Conveyor,5,Machinery,Manufacturing
70,Garcia PLC Conveyor,5,Machinery,Manufacturing
71,"Villegas, Shepard and Wells Jeans",2,Apparel,Retail
72,George Inc Sneakers,2,Apparel,Retail
73,Estrada Group Copper Wire,6,Raw Materials,Manufacturing
74,Sherman-Smith Switch,4,Hardware,Tech
75,Robinson LLC Workstation,4,Hardware,Tech
76,"Gonzales, Gallagher and Huang ERP",3,SaaS,Tech
77,"Ball, Parker and Jensen Sneakers",2,Apparel,Retail
78,"Adams, Newton and Kelly Workstation",4,Hardware,Tech
79,Bryant-Lawson Plastic Pellets,6,Raw Materials,Manufacturing
80,Lewis and Sons Drill,5,Machinery,Manufacturing
81,Bailey Group Copper Wire,6,Raw Materials,Manufacturing
82,Hall Ltd Speaker,1,Electronics,Retail
83,Graves-Hall Hat,2,Apparel,Retail
84,Smith-Carroll Lathe,5,Machinery,Manufacturing
85,Holloway-Stafford Drill,5,Machinery,Manufacturing
86,"Whitehead, Parks and Cuevas Aluminum Sheets",6,Raw Materials,Manufacturing
87,Wiley PLC Hat,2,Apparel,Retail
88,Collins Group Steel Rods,6,Raw Materials,Manufacturing
89,Barber Ltd Lathe,5,Machinery,Manufacturing
90,"Garcia, Lopez and Morgan Jacket",2,Apparel,Retail
91,"Harris, Nielsen and Wilson Storage",4,Hardware,Tech
92,Ramos-Benton Compressor,5,Machinery,Manufacturing
93,Smith LLC Conveyor,5,Machinery,Manufacturing
94,Williams-Wilson Press,5,Machinery,Manufacturing
95,"Cannon, Garcia and Arroyo Tablet",1,Electronics,Retail
96,Clayton Group CRM,3,SaaS,Tech
97,"Hamilton, Olsen and Oconnor Compressor",5,Machinery,Manufacturing
98,"Matthews, Smith and Bennett Analytics",3,SaaS,Tech
99,"Davis, Cox and Pierce Analytics",3,SaaS,Tech
100,Cooper-Allen Hat,2,Apparel,Retail
